x,y,value
Messi,RealMadrid,3.1610140317890965
Messi,AtleticoMadrid,2.9075695440623942
Messi,Sevilla,0.1296454803177811
Messi,Villarreal,2.3129545439964723
Messi,Valencia,2.6193568568512493
Messi,Betis,3.08748279136251946
Messi,Getafe,2.943858242639327
Messi,Eibar,4.3356914547843943
Messi,RealSociedad,0.31390905400247027
Cristiano,Barcelona,2.250335336990016
Cristiano,AtleticoMadrid,0.7163168911863054
Cristiano,Sevilla,4.6222770814456479
Cristiano,Villarreal,2.4472931892677967
Cristiano,Valencia,0.9378611429750559
Cristiano,Betis,0.35446193006796944
Cristiano,Getafe,3.37199215156032084
Cristiano,Eibar,1.05979039016384
Cristiano,RealSociedad,1.8657861030686699
Griezmann,Barcelona,0.24786564820472912
Griezmann,RealMadrid,1.13545847239482
Griezmann,Sevilla,1.626323182055196
Griezmann,Villarreal,0.6388067539810734
Griezmann,Valencia,0.4239980281990543
Griezmann,Betis,1.4341389749588975
Griezmann,Getafe,0.7392983316104583
Griezmann,Eibar,1.6630071601899028
Griezmann,RealSociedad,4.759329801939115
Suarez,RealMadrid,1.3798561037495776
Suarez,AtleticoMadrid,4.621063369745371
Suarez,Sevilla,2.715496746864414
Suarez,Villarreal,1.9989751140631283
Suarez,Valencia,4.655686656785712
Suarez,Betis,2.0830024325290624
Suarez,Getafe,1.8907348191368603
Suarez,Eibar,3.4593907900702838
Suarez,RealSociedad,2.8657861030686699
